"id","source","tip"
"1","https://microbot.cloud/api/fact/random","75%+ accuracy at bosses is usually better than stacking max strength bonuses."
"2","https://microbot.cloud/api/fact/random","A black chinchompa alt at monkeys can make 1m+ GP/hr while being extremely AFK."
"3","https://microbot.cloud/api/fact/random","A built-in scheduler can start or stop bots on a timer."
"4","https://microbot.cloud/api/fact/random","A custom web walker handles movement and obstacles."
"5","https://microbot.cloud/api/fact/random","A full Graceful set reduces run energy drain by 30%."
"6","https://microbot.cloud/api/fact/random","Abyssal sire can be killed without taking damage using proper flinching techniques."
"7","https://microbot.cloud/api/fact/random","Active contributors can earn developer status on the team."
"8","https://microbot.cloud/api/fact/random","Aerial fishing gives Hunter and Fishing XP simultaneously at decent rates."
"9","https://microbot.cloud/api/fact/random","An auto-login plugin uses RuneLite profile data to fill credentials."
"10","https://microbot.cloud/api/fact/random","An official launcher is available."
"11","https://microbot.cloud/api/fact/random","Ancestral robes give +2% magic damage per piece - essential for raids and endgame maging."
"12","https://microbot.cloud/api/fact/random","Ancient Mace special attack can boost prayer above your max level by draining enemy prayer."
"13","https://microbot.cloud/api/fact/random","Anti-ban profile support is built in."
"14","https://microbot.cloud/api/fact/random","Armadyl chestplate is a marginal upgrade over black d'hide - only worth it if you camp ranged bosses."
"15","https://microbot.cloud/api/fact/random","At Zulrah, swapping between mage/ranged presets instead of manual switches increases kills per hour."
"16","https://microbot.cloud/api/fact/random","Avernic defender is a +1 strength bonus over dragon defender - tiny but noticeable DPS increase."
"17","https://microbot.cloud/api/fact/random","Avoid HTTP(S) proxies; only SOCKS5 proxies handle game traffic properly."
"18","https://microbot.cloud/api/fact/random","Barrows is most efficient when you get 88% potential by killing 3 skeletons in the tunnels."
"19","https://microbot.cloud/api/fact/random","Birdhouse runs give passive Hunter XP and nests with minimal effort."
"20","https://microbot.cloud/api/fact/random","Black d'hide has one of the best magic defence values for its price point."
"21","https://microbot.cloud/api/fact/random","Blackjacking bandits is the fastest Thieving XP but very click-intensive."
"22","https://microbot.cloud/api/fact/random","Blowpipe with dragon darts is still best DPS for many Slayer bosses and money tasks."
"23","https://microbot.cloud/api/fact/random","Bone Voyage quest unlocks Fossil Island with birdhouses, herbiboar, and Volcanic Mine."
"24","https://microbot.cloud/api/fact/random","Cannon spots like Dagannoths in the catacombs give insane Slayer XP rates."
"25","https://microbot.cloud/api/fact/random","Cerberus ghosts always spawn in the same order based on your prayer overhead."
"26","https://microbot.cloud/api/fact/random","Chambers of Xeric (Cox) scales with team size - solos give better loot but take longer."
"27","https://microbot.cloud/api/fact/random","Construction is expensive but POH portals and restoration pool save millions in teleports and supplies."
"28","https://microbot.cloud/api/fact/random","Corporeal Beast is best farmed with a team using dragon warhammer and BGS specs."
"29","https://microbot.cloud/api/fact/random","Crystal armor at Zalcano is better than melee setups for both XP and profit."
"30","https://microbot.cloud/api/fact/random","Deaths at ToA do not punish your invocations score, only your time and supplies."
"31","https://microbot.cloud/api/fact/random","Diaries unlock some of the best passive benefits - Morytania Hard makes Barrows extremely profitable."
